Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
1515628800.0,2018-01-11,BTCMXN,321800,324000,273101,291300,431.69,126062404.72
1515542400.0,2018-01-10,BTCMXN,318960,321900,300000,321800,371.7,114840002.69
1515456000.0,2018-01-09,BTCMXN,337999.99,337999.99,306999,318960,310.82,99747437.55
1515369600.0,2018-01-08,BTCMXN,352895.08,354483.96,306000,337999.99,323.04,106466189.86
1515283200.0,2018-01-07,BTCMXN,354134.74,358899.01,343000.01,352895.08,114.33,40184774.11
1515196800.0,2018-01-06,BTCMXN,358700,360000,338000,354134.74,198.93,69717475.22
1515110400.0,2018-01-05,BTCMXN,321513.18,360999,305337.99,358700,668.8,222801660.33
1515024000.0,2018-01-04,BTCMXN,318000,323000,300000,321513.18,373.43,116714667.04
1514937600.0,2018-01-03,BTCMXN,320000,330000,310501,318000,241.55,77253615.41
1514851200.0,2018-01-02,BTCMXN,308000,330000.01,295000,320000,332.51,104460448.31
1514764800.0,2018-01-01,BTCMXN,306501.93,312000,300000,308000,73.48,22431822.3
1514678400.0,2017-12-31,BTCMXN,283500,317999,270100,306501.93,245.99,73911439.61
1514592000.0,2017-12-30,BTCMXN,324490,324490,270000,283500,447.75,132351093.12
1514505600.0,2017-12-29,BTCMXN,315260.5,324883.94,302500,324490,382.93,120543463.73
1514419200.0,2017-12-28,BTCMXN,328900,335295.39,300000,315260.5,311.47,96653004.86
1514332800.0,2017-12-27,BTCMXN,335500,346300,310100,328900,352.53,115697320.42
1514246400.0,2017-12-26,BTCMXN,300978.93,348999.89,298001,335500,466.81,153356317.45
1514160000.0,2017-12-25,BTCMXN,299000,312500,288100,300978.93,152.68,45689063.86
1514073600.0,2017-12-24,BTCMXN,309498,315450,281001,299000,296.71,87879040.08
1513987200.0,2017-12-23,BTCMXN,285000,324904.57,280000,309498,403.59,124137613.23
1513900800.0,2017-12-22,BTCMXN,319986.85,324999.99,205000,285000,1093.04,303753187.24
1513814400.0,2017-12-21,BTCMXN,351105.29,355000,283602,319986.85,545.28,174169473.69
1513728000.0,2017-12-20,BTCMXN,367800,370000,340000,351105.29,479.83,170527631.41
1513641600.0,2017-12-19,BTCMXN,376900,376950,352000.31,367800,415.75,151972882.44
1513555200.0,2017-12-18,BTCMXN,378500,385501,362505,376900,378.32,141402267.49
1513468800.0,2017-12-17,BTCMXN,383020.02,394999,371238.1,378500,200.37,76827720.72
1513382400.0,2017-12-16,BTCMXN,360000,399000,355000,383020.02,426.09,161519532.16
1513296000.0,2017-12-15,BTCMXN,327000,360000,321660.32,360000,613.26,213652238.62
1513209600.0,2017-12-14,BTCMXN,316101,330000,313342.2,327000,253.17,81848372.05
1513123200.0,2017-12-13,BTCMXN,321060,327000.56,306162,316101,286.19,91516382.44
1513036800.0,2017-12-12,BTCMXN,327891,330500,315000,321060,318.03,103118346.46
1512950400.0,2017-12-11,BTCMXN,292686.89,335000,292686.85,327891,418.76,134252038.42
1512864000.0,2017-12-10,BTCMXN,294999,320000,257500,292686.89,501.43,147582162.75
1512777600.0,2017-12-09,BTCMXN,328350,330000.02,273667,294999,378.96,116612431.37
1512691200.0,2017-12-08,BTCMXN,332500,343400,294000,328350,610.16,194073760.91
1512604800.0,2017-12-07,BTCMXN,279998,358650,270000,332500,514.95,156961760.94
1512518400.0,2017-12-06,BTCMXN,226300,285000,226300,279998,621.99,159010877.94
1512432000.0,2017-12-05,BTCMXN,218986.9,229999,216500,226300,416.03,92604955.28
1512345600.0,2017-12-04,BTCMXN,212263.03,219495,211001,218986.9,380.81,82059141.82
1512259200.0,2017-12-03,BTCMXN,204666.69,219998,203922,212263.03,337.31,71834420.5
1512172800.0,2017-12-02,BTCMXN,200343.44,208000,199500,204666.69,213.37,43666337.53
1512086400.0,2017-12-01,BTCMXN,194673.68,203034.25,184600,200343.44,515.16,100577836.78
1512000000.0,2017-11-30,BTCMXN,193412.1,203999.99,185000,194673.68,603.86,117100984.39
1511913600.0,2017-11-29,BTCMXN,185600,210499.99,180000,193412.1,896.3,175374702.77
